"","Cornus florida","Vitis sp1 M_SD_001","Celastrus orbiculatus","Rhus radicans","Lindera benzoin","Smilax rotundifolia","Lonicera japonica"
"Quiscalus quiscula",90,72,0,0,0,0,0
"Turdus migratorius",110,17,3,0,21,0,0
"Zonotrichia albicollis",13,4,32,1,20,27,24
"Junco hyemalis",51,0,28,10,0,0,1
"Cardinalis cardinalis",2,10,13,0,1,6,2
"Dendroica coronata",0,0,0,25,0,0,0
"Parus atricapillus",0,0,0,16,0,0,0
"Catharus guttata",6,0,3,0,1,0,0
"Parus bicolor",1,1,3,3,0,0,0
"Picoides pubescens",0,0,0,8,0,0,0
"Mimus polyglottos",1,0,4,1,0,1,0
"Bombycilla cedrorum",0,0,4,0,0,0,0
"Melanerpes carolinensis",0,2,0,2,0,0,0
"Picoides villosus",0,0,0,3,0,0,0
"Sturnus vulgaris",0,0,3,0,0,0,0
"Carpodacus purpureus",2,0,0,0,0,0,0
"Colaptes auratus",1,0,0,1,0,0,0
"Zenaidura macroura",0,1,0,0,1,0,0
"Euphagus carolinus",0,0,1,0,0,0,0
"Pipilo erythophtalmus",1,0,0,0,0,0,0
"Vireo olivaceus",1,0,0,0,0,0,0
